author id,author username,is_verified_user,followers_count,following_count,tweet_count,listed_count,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Label
23792255,TFMTrades,FALSE,5542,612,21237,169,2012-09-25 22:05:39+00:00, ,250717728300740608,en,0,0,0,0,Twitter Web Client,"-FX Snapshot:  1.290 EUR, and 77.806 JPY, 12.870 MXN, 2.030 BRL, 1.620 GBP,

-Gold $1,763.90 up 1.70 USD. Oil $91.37 down 0.56 cents USD",O
153663230,CurrencyInfo_,FALSE,267,132,4140,8,2012-09-25 21:35:20+00:00, ,250710098903695361,en,0,0,0,0,Facebook,"•The NZD opens at current indicative mid rates: 0.82 USD, 0.79 AUD, 0.6360 EUR, 63.80 JPY, 0.5070 GBP, and 0.8055 CAD.",O
229249316,HiFX_NewZealand,FALSE,176,80,2752,2,2012-09-25 21:08:29+00:00, ,250703342060306432,en,0,0,0,0,Facebook,"•The NZD opens at current indicative mid rates: 0.82 USD, 0.79 AUD, 0.6360 EUR, 63.80 JPY, 0.5070 GBP, and 0.8055 CAD",O
366554179,Don_Gronald,FALSE,4681,8,392,18,2012-09-25 19:38:37+00:00, ,250680727090393088,en,0,0,0,0,Twitter Web Client,"Got stopped out of my Apple and MLNX trades with a small profit... Still holding shorts on EUR/USD since 1,30530. #CorrectionMode",O
33973843,PipCzar,FALSE,60023,766,84653,1837,2012-09-25 18:13:34+00:00, ,250659322546225153,en,0,0,0,0,Twitter Web Client,"@RylandCapital I am long (so biased) but yes, that is why I am not relying a lot on the USD (and EUR/USD) these days",P
37177454,MangoldFond,FALSE,684,140,7020,33,2012-09-25 14:32:14+00:00, ,250603625276137473,en,0,0,0,0,Twitter Web Client,"Draghi in Berlin saying ECB action will boost stability, Euro irreversible and that growth will return next year. EUR/USD 1,2950.",P
23108103,mariusghisea,FALSE,2032,743,16661,45,2012-09-25 13:33:18+00:00, ,250588790475878400,en,0,0,0,0,Twitter Web Client,"I opened again sell EUR/USD order 4, this time at 1.2945, and buy USD/CHF order 3 again, this time at 0.9344",O
414259284,Tickmill,FALSE,34154,125,25638,161,2012-09-25 12:58:37+00:00, ,250580065438539776,en,0,0,0,0,Twitter Web Client,"#EUR/USD Good Sell Orders said layered to 1.2980 and suggestion of larger Sell-Orders 1.30+
1.3000 expiries will add to likely resistance",O
414259284,Tickmill,FALSE,34154,125,25638,161,2012-09-25 12:58:01+00:00, ,250579915034992640,en,0,0,0,0,Twitter Web Client,"#EUR/USD NA traders chase the stops of European specs and fill them above 1.2955
100-HMA @ 1.2970",O
426722004,RiskR3ward,FALSE,13627,426,25696,309,2012-09-25 12:48:13+00:00, ,250577445735002112,en,0,0,0,0,Twitter Web Client,EUR/USD As we now have taken out the daily high we might trade a bit higher and reach 1.2970 and 1.30,P
421553349,EricJavierGonza,FALSE,33,116,155,4,2012-09-25 12:18:07+00:00, ,250569870717091840,en,0,0,0,0,Twitter Web Client,"@robbooker Rob, is there any relationship between the EUR / USD and AUD / NZD ... they move in the opposite or same direction....Thanks",O
239902477,ForexCommune,FALSE,4461,5303,77880,47,2012-09-25 12:17:33+00:00, ,250569727808790528,en,0,0,0,0,dlvr.it,[Update] Prelim UoM Consumer Sentiment Expected to Boost USD: The EUR/USD pair has been experiencing very volatile trading this week and...,O
386436243,Joe_Trading,FALSE,2187,1875,14135,85,2012-09-25 12:02:12+00:00, ,250565866842910720,en,0,0,0,0,Hootsuite,Folling the Hungarian central bank rate cut HUF under pressure against USD and EUR,O
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-25 11:39:05+00:00, ,250560050026909696,en,0,0,0,0,Twitter Web Client,Need to to see how USD Index and EUR/USD behaves to guide rupee. Given the expectation of 1.2850-1.3000 (within 1.28-1.3050) range...contd,O
304899193,TCommodity,FALSE,9557,284,27379,203,2012-09-25 11:25:05+00:00, ,250556527092563968,en,0,0,0,0,Twitter for iPhone,Current set up post leaked rumor about ESM very very good spot to start a short position on EUR/USD and metals,N
421553349,EricJavierGonza,FALSE,33,116,155,4,2012-09-25 11:17:28+00:00, ,250554609167376384,en,0,0,0,0,Twitter for Websites,@robbooker How strong or reliable are the pivot of 1 month and 1 week in EUR / USD...USD/CAD,O
29708582,FXDIRK,FALSE,31587,3555,42492,504,2012-09-25 10:32:52+00:00, ,250543383800578048,en,0,0,0,0,Twitter Web Client,"back and long again &gt; EUR/USD Long @1,29085 #FXDIRK",P
414259284,Tickmill,FALSE,34154,125,25638,161,2012-09-25 09:14:00+00:00, ,250523536744120321,en,0,0,0,0,Twitter Web Client,"#EUR/USD expiries at 1.2900 in good amounts today, also 1.2835 and 1.3000",O
126609408,ulfnoren,FALSE,467,727,1510,18,2012-09-25 08:26:38+00:00, ,250511615756210176,en,0,0,0,0,Twitter for iPad,EUR and USD still dominates among worlds reserve currencies and the especially the EUR is growing (!),P
55513519,TraderJJS,FALSE,4687,6,9925,87,2012-09-25 08:00:08+00:00, ,250504947198734338,en,0,0,0,0,Echofon,... EUR 9 am Draghi speaking and 10 am USD CB Consumer Confidence.,P
17046810,jenskristianson,FALSE,837,4436,18709,22,2012-09-25 07:54:22+00:00, ,250503498922356736,en,0,0,1,0,StockTwits Desktop,@SEK_bonds What is happening with Norska kronor? Strengthening against EUR and USD,O
43513379,4mostCurrency,FALSE,2195,3189,12564,43,2012-09-25 07:49:50+00:00, ,250502354502295553,en,0,0,0,0,Twitter Web Client,"Sterling exchange rates pretty strong this morning, GBP/EUR approaching 1.26 and GBP/USD near 13 month high. #currency",O
769768448,RoyalExchangeFX,FALSE,32,60,56,0,2012-09-25 07:35:09+00:00, ,250498661488943104,en,0,0,0,0,Twitter Web Client,Levels to watch on the downside EUR/USD are 1.2883 and reputed large stops at 1.2850. On the upside 1.2960/70 is where the buy stops are.,O
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-25 07:22:04+00:00, ,250495370382176256,en,0,0,0,0,Twitter Web Client,USD/JPY under pressure mainly on counter-play between EUR/USD and USD Index; risk of move into 77.50; lower end of 77.50-78.50 range,O
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-25 07:20:26+00:00, ,250494958115618816,en,0,0,0,0,Twitter Web Client,Watch EUR/USD at 1.2850-1.2950; USD/INR at 53.15-53.65; test/break either-way not to sustain and wud be good trade set up,O
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-25 07:18:00+00:00, ,250494346707734528,en,0,0,0,0,Twitter Web Client,Rupee bulls to have close watch on USD Index at 79.80-79.90; break will dilute bullish momentum on rupee (EUR at 1.2850 and INR at 53.65),O
544964025,tradewincomm,FALSE,510,337,29661,6,2012-09-25 06:09:39+00:00, ,250477146085138432,en,0,0,0,0,Twitter Web Client,EUR/USD: Euro Fell On Weak German Sentiment Data And Amid Uncertainty Over Plans For A Spanish ..,N
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-25 05:59:36+00:00, ,250474616525553664,en,0,0,0,0,Twitter Web Client,EUR/USD has now completed end-to-end of 1.2950-1.2965 (hi of 1.2952) and 1.2900-1.2885 (lo of 1.2896); watch 1.2885 now to hold,O
246626141,AsymetricTrades,FALSE,797,1524,25450,33,2012-09-25 05:28:44+00:00, ,250466847168815104,en,0,0,0,0,Twitter Web Client,And... There goes #Eur/Usd. I commandeth the markets!,P
20114215,oildesk,FALSE,297,0,631,20,2012-09-25 02:29:20+00:00, ,250421698011205632,en,0,0,2,0,Saezuri,@eminiplayer $CL_F and EUR/USD (not $6E_F),O
297016379,FXParadigm,FALSE,164,3,9790,8,2012-09-24 23:18:20+00:00, ,250373634365984768,en,0,0,0,0,Twitter Web Client,"Looks like tomorrow will be a big EUR and USD day, with Greece once more being a ... and Draghi having something to talk about.",O
23792255,TFMTrades,FALSE,5542,612,21237,169,2012-09-24 22:38:17+00:00, ,250363554279063553,en,0,0,0,0,Twitter Web Client,"FX Snapshot: 12.918 MXN, 2.025 BRL, 1.622 GBP, 1.293 EUR, and 77.835 JPY 
-Gold $1,762.20 down 13.40 USD. Oil $91.93 down 0.96 cents USD",O
375835778,kasinopeluri,FALSE,1,8,15,0,2012-09-24 21:06:32+00:00, ,250340463914127360,en,0,0,0,0,Gravity!,Which companies make the toner cartridges for printing EUR and USD? Those are a buy.,O
36045940,jamielesinski,FALSE,986,94,11209,40,2012-09-24 16:24:18+00:00, ,250269438123843585,en,0,0,0,0,TweetDeck,Not much change today on interbank. no more than about 70 pips for USD and EUR vs GBP.,O
435609120,LuigiBissatini,FALSE,42,0,2251,2,2012-09-24 16:02:15+00:00, ,250263887616806912,en,0,0,0,0,Twitter Web Client,"between 1,2757 and 1,3171 before last impulsive move UP in EUR/USD and MEDIUM TERM REVERSAL, but it will take some weeks",P
213409067,KlarityFX,FALSE,175,1319,1965,10,2012-09-24 13:57:34+00:00, ,250232512377401344,en,0,0,0,0,Twitter Web Client,German IFO business climate reading fell for a fifth straight month in Sep and to its lowest level since early 2010. #EUR weakens vs. #USD,N
187265434,393476480020,FALSE,476,1282,4864,5,2012-09-24 13:46:56+00:00, ,250229834498846720,en,0,0,0,0,Twitter Web Client,"@waltervannelli Squared long on EUR/USD at 1.2908, long on GOLD on the spot at 1762.6 and long on AUD/USD at 1.0408 totaling 8 GBP profit...",O
75763473,FOREXTRADECALLS,FALSE,109,73,1569,0,2012-09-24 13:27:34+00:00, ,250224962437275648,en,0,0,0,0,Twitter Web Client,SELL CALL UPDATE EUR/USD - TRAIL YOUR STOP AT 1.2972 LOCK +48 PIPS AND WAIT FOR YOUR TARGET.1st AND 2nd TARGETS ALREADY ACHIEVED.,N
127835834,pipaccumulator,FALSE,3448,82,11886,47,2012-09-24 13:19:32+00:00, ,250222939759337472,en,0,0,0,0,Twitter Web Client,EUR/USD holding 1.2900 apart from what looked like a stop loss run. Commodity currencies look weak. Watching USD/CAD long and AUD/USD short.,O
26816483,infovestment,FALSE,2610,56,13627,65,2012-09-24 12:36:22+00:00, ,250212078386835457,en,0,0,0,0,erased_49624,"$EURUSD starting to desintegrate,and again this is all EUR weakness, especially $USDJPY is still flat on the day,so no real USD strength $$",N
20591429,CaxtonPayments,FALSE,4144,1547,7847,82,2012-09-24 12:15:32+00:00, ,250206832369475584,en,0,0,0,0,Twitter Web Client,"More pressure for the #euro today, poor Italian trade and German confidence data responsible, EUR/USD down near $1.29",N
187265434,393476480020,FALSE,476,1282,4864,5,2012-09-24 11:53:16+00:00, ,250201230079574016,en,0,0,0,0,Twitter Web Client,"@waltervannelli Long EUR/USD squared at 1.2928 with +19 pips and short USD/CHF suared at 0.9354 with +13 pips, with +32 pips, £16 profit...",O
414259284,Tickmill,FALSE,34154,125,25638,161,2012-09-24 11:48:24+00:00, ,250200006601089025,en,0,0,0,0,Twitter Web Client,#EUR/USD Traders now talk of solid Buy Orders between 1.2900-1.2880 with larger stops 1.2870 and 1.2850.,O
467394420,samsonpen,FALSE,24,5,270,0,2012-09-24 11:44:58+00:00, ,250199140968042496,en,0,0,0,0,Twitter for BlackBerry®,....don't over trade and  long GBP/USD around 1.6150/6180 and EUR/USD around 1.2850/2900. Tp is 150 pips each.,P
605688727,ice_trade,FALSE,292,1771,328,2,2012-09-24 11:36:34+00:00, ,250197026103496704,en,0,0,0,0,Twitter for BlackBerry®,....don't over trade and  long GBP/USD around 1.6150/6180 and EUR/USD around 1.2850/2900. Tp is 150 pips each.,P
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-24 11:19:19+00:00, ,250192688585011200,en,0,0,0,0,Twitter Web Client,Rupee held well belo 53.55-53.65 support (lo of 53.54) but now getting better traction with USD Index (and EUR/USD); watch 79.80 (n 1.2895),O
187265434,393476480020,FALSE,476,1282,4864,5,2012-09-24 09:54:13+00:00, ,250171269868298241,en,0,0,0,0,Twitter Web Client,@waltervannelli Long now with EUR/USD from 1.2909 and AUD/USD from 1.0407; Short now with USD/CHF from 0.9367,P
142010224,DorganG,FALSE,2406,560,99741,191,2012-09-24 09:51:17+00:00, ,250170533595996161,en,1,0,1,0,TweetDeck,"@CVecchioFX Isn't it time to target EUR/USD 1.2050 ? Risk appetite high in US and at Daily FX, but low in Europe and Asia.",O
29708582,FXDIRK,FALSE,31587,3555,42492,504,2012-09-24 09:06:04+00:00, ,250159151827787776,en,0,0,0,0,Twitter Web Client,"cutting some older shorts in EUR/USD from 1,2990 and 1,2897 @1,2903 &gt; +83/-6 &gt; will re-short @1,2945 #FXDIRK",O
187265434,393476480020,FALSE,476,1282,4864,5,2012-09-24 08:51:34+00:00, ,250155505396355072,en,0,0,1,0,Twitter Web Client,"@waltervannelli closed short EUR/USD 1.2915: +47
and short GBP/USD at 1.6220: +14
Total pips   :       +61
Total profit: 0.50 x 61 = 30.50",O
26816483,infovestment,FALSE,2610,56,13627,65,2012-09-24 08:27:50+00:00, ,250149531646296064,en,0,0,0,1,erased_49624,"$EURUSD weakness on slow IFO number,this is all about weak EUR and not strong USD coz pairs like $USDJPY are not rising $$ #MKT",N
37177454,MangoldFond,FALSE,684,140,7020,33,2012-09-24 08:03:49+00:00, ,250143486295285762,en,0,0,0,0,Twitter Web Client,"German IFO for September dropping to 101,4. Below the August level and weaker than forecasted. EUR/USD hits day low.",N
469756471,DarrenTrades,FALSE,21,0,591,0,2012-09-24 07:05:56+00:00, ,250128921209745408,en,0,0,1,0,Twitter for iPhone,@poosurf haha. USD turning down. I went long on Aud and Eur. Aud at strong level.,P
273058901,tjhmarfx,FALSE,58,127,384,1,2012-09-24 05:57:17+00:00, ,250111645899165696,en,0,0,0,0,Twitter Web Client,"Today we can Expect Eur/Usd , Gbp/Usd, gold and silver in downtrend.... so traders gather up your string for sell position",N
278937347,mosesharding,FALSE,5897,52,64011,126,2012-09-24 04:46:21+00:00, ,250093795109138432,en,0,0,0,0,Twitter Web Client,"After earlier consolidation in EUR/USD at 1.2950-1.3050, we might see 1.29-1.30 play now and watch momentum at either end; outlook bullish",P
