,tweet,polarity_score
0,fx snapshot  1290 eur and 77806 jpy 12870 mxn 2030 brl 1620 gbpgold 176390 up 170 usd oil 9137 down 056 cents usd,0
1,the nzd opens at current indicative mid rates 082 usd 079 aud 06360 eur 6380 jpy 05070 gbp and 08055 cad,0
2,the nzd opens at current indicative mid rates 082 usd 079 aud 06360 eur 6380 jpy 05070 gbp and 08055 cad,0
3,got stopped out of my apple and mlnx trades with a small profit still holding shorts on eurusd since 130530 ,0
4, i am long so biased but yes that is why i am not relying a lot on the usd and eurusd these days,0
5,draghi in berlin saying ecb action will boost stability euro irreversible and that growth will return next year eurusd 12950,0
6,i opened again sell eurusd order 4 this time at 12945 and buy usdchf order 3 again this time at 09344,0
7,usd good sell orders said layered to 12980 and suggestion of larger sellorders 13013000 expiries will add to likely resistance,0
8,usd natraders chase the stops of european specs and fill them above 12955100hma  12970,0
9,eurusd as we now have taken out the daily high we might trade a bit higher and reach 12970 and 130,0
10, rob is there any relationship between the eur  usd and aud  nzd  they move in the opposite or same directionthanks,0
11,update prelim uom consumer sentiment expected to boost usd the eurusd pair has been experiencing very volatile trading this week and,0
12,folling the hungarian central bank rate cut huf under pressure against usd and eur,0
13,need to to see how usd index and eurusd behaves to guide rupee given the expectation of 1285013000 within 12813050 rangecontd,0
14,current set up post leaked rumor about esm very very good spot to start a short position on eurusd and metals,0
15, how strong or reliable are the pivot of 1 month and 1 week in eur  usdusdcad,0
16,back and long again gt eurusd long 29085 ,0
17,usd expiries at 12900 in good amounts today also 12835 and 13000,0
18,eur and usd still dominates among worlds reserve currencies and the especially the eur is growing ,0
19, eur 9 am draghi speaking and 10 am usd cb consumer confidence,0
20,bonds what is happening with norska kronor strengthening against eur and usd,0
21,sterling exchange rates pretty strong this morning gbpeur approaching 126 and gbpusd near 13 month high ,0
22,levels to watch on the downside eurusd are 12883 and reputed large stops at 12850 on the upside 1296070 is where the buy stops are,0
23,usdjpy under pressure mainly on counterplay between eurusd and usd index risk of move into 7750 lower end of 77507850 range,0
24,watch eurusd at 1285012950 usdinr at 53155365 testbreak eitherway not to sustain and wud be good trade set up,0
25,rupee bulls to have close watch on usd index at 79807990 break will dilute bullish momentum on rupee eur at 12850 and inr at 5365,0
