,tweet,polarity_score
0,outlook on eurusd its failing to bounce and looking for new lows the usdx has turned resistance into support weak volume rally,0
1,consensus appears to be 2012 risk aversion and strong usd vs jpy eur aud gbp up vs eur chf weak,0
2,take profit hit on the eurusd long scalp  another profitable trading day  have a good weekend and spend some time with your family,0
3,merry xmas and prosperous new  year to all our members followers  rts and viewers  aapl amzn spy spx eurusd goog audjpy,0
4,  eur is dying usd is dying and all of this is thanks to human greed oh noes the imf is announcing a global currency,0
5,eurusd  and crude flat while es has levitated 6 handles in past 2hrvolume extremely light,0
6,it is most likely that the eurusd will give us an signal next week and this may coincide with a gbpusd,0
7,eurusd looks like its trying again and the gbpusd giving us some new daily lows 5600 it should hit some support,0
8,eurusd consolidating at 13030 area its tried to break it twice now and just keeps on bouncing off,0
9,eurusd sell  3050 just barely up its testing that 3030 line and thats been the suppresis line for the last week or soo,0
10,tweet,0
11,outlook on eurusd its failing to bounce and looking for new lows the usdx has turned resistance into support weak volume rally,0
12,consensus appears to be 2012 risk aversion and strong usd vs jpy eur aud gbp up vs eur chf weak,0
13,take profit hit on the eurusd long scalp  another profitable trading day  have a good weekend and spend some time with your family,0
14,merry xmas and prosperous new  year to all our members followers  rts and viewers  aapl amzn spy spx eurusd goog audjpy,0
15,  eur is dying usd is dying and all of this is thanks to human greed oh noes the imf is announcing a global currency,0
16,eurusd  and crude flat while es has levitated 6 handles in past 2hrvolume extremely light,0
17,it is most likely that the eurusd will give us an signal next week and this may coincide with a gbpusd,0
18,eurusd looks like its trying again and the gbpusd giving us some new daily lows 5600 it should hit some support,0
19,eurusd consolidating at 13030 area its tried to break it twice now and just keeps on bouncing off,0
20,eurusd sell  3050 just barely up its testing that 3030 line and thats been the suppresis line for the last week or soo,0
21,interesting iwm not moving with spy dollar flat and eurusd down however tlt is getting hammered mixed signals today,0
22,im still sticking too the short side on the gbpusd eurusd and aususd pairs all 3 seem like theyve gone up as far as that could,0
23,if we can get the next hr candle to close below 5650 on the gbpusd and on the eurusd 3030 this thing has some room to run down further,0
24,spy opens up at 12567 wti flirts with 100 dxf flat and holding key 80 support eurusd still in 130 handle  us 10year tnote 199,0
25,5 new posts available in kantox to exchange eur for usd in february march april may and june,0
26,happy festivis  we are currently selling the usd  10379 gbp  16472 and eur  13805,0
27,eurusd  it is time to exit merry xmas to all followers and helpers thanks  next year will be exciting and consistent ,0
28,staying short on eurusd at 13080 and waiting for the 20 day ema to bust at 13060 and fall to resistance near 13040  ,0
29,usd 1305013100 the new shortterm comfortzonewith squaring up and getting out the door the main priority heading into break ,0
30,intraday options that are due to expire today at 1500gmt 10am ny cut include 13100 in eurusd 7800 in usdjpy and 10200 in usdcad,0
31,intraday options that are due to expire today at 1500gmt 10am ny cut include 13100 in eurusd 7800 in usdjpy and 10200 in usdcad,0
32,eurusd dropping as calculated after hitting resistance and bearish divergence on the hourly will encourage this trend and look for 13040,0
33,took profit of that long scalp of eurusd and similar to yesterday i am reversing my position at 13080 resistance with the broader dtrend,0
34,how and why would france be downgraded by snp when they affirmed this few weeks ago dont get itspy eurusd cac dax aapl,0
35,long scalp eurusd at 13035 quickly hit 13070 for a quick 35 pips now lets see what draghi and obama say,0
36,spx is trading against its positive corr on eurusd and against its negative corr on tnt  this signals weakness good rr for shrts,0
37,support at 13035 on eurusd says go long for around 35 pips but watch out for draghi and obama speaking within the next hr and 15 min,0
38,rt gold no lusterdown 8 in dec with sp up small on month   eurusd breaks 130 soon and gold follows lower,0
39,gold no lusterdown 8 in dec with sp up small on month   eurusd breaks 130 soon and gold follows lower,0
40,still short nzdchf 7235and i getting long eurusd 13020  very small amount,0
41,hungary was junked  ydayand forint sold offbcos we like to buy low or sell high shorting gbphuf 36800 stp 37600 eurusd spy,0
42,back to opening levels for the eurusd the middle eastern led rally ran out of steam at 13120 and we re back down to familiar sessi,0
43,rt options  eurusd taking retrace eurusd is taking some retracement in the long term trend and this retracement is an ext,0
44, yes please ill add it to all the gbp eur usd chf hkd and similar coins i have in my pile,0
45,eurusdgbpusd and gold bullish  usdjpy bearish,0
46,the   fell against the  and  as panel considers measures incl capital controls and negative interest rates to weaken the ,0
47,european banks need usd funding over ye  if you have eur debits you should borrow usd buy eur pay down debit and sell forward past ye,0
48,eurusd has been good to me but it can do me one last favor and take a dive back to 13000 ,0
49,eurozone consumer confidence recorded its worst result in over 2 years eur  usd trapped in the 13057 and 13028 range,0
50,here we go today we are up about 45 on the usdcad 90 on the eurusd and 25 on the gbpusd with more room in each,0
51,eurusd dropped back below 131 level last night but now back to 1304 after negative us housing data and will bounce maybe 35 ,0
52,short eurusd and looking to add positions ideas short gbpusd long usdchf will update when i make a move,0
53,i think the safe bet now is to stay long gbpusd and short eurusd at 21 hedgeuntil this santa rally passes us,0
54, nimbly  market wants to sell eurusd but positioning already at extreme and 25 delta rr have come back alot squeeze coming,0
55,i have now exited my nzdusd and eurusd shorts for profits for 45 and 50 pips each cannot hover of my screens this morning,0
