,tweet,textblob_polarity,textblob_subjectivity,nltk,vader
0,+3800 Pips Profits Thursday #result in GOLD And +30 Pips Profits in EUR/USD Were &gt;  toptradingbourse@hotmail.com we give   #realFreeTail,0.0,0.0,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}","{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}"
1,Pairs that i`m going to trade EUR/JPY and USD/JPY,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,+3800 Pips Profits Thursday #result in GOLD And +30 Pips Profits in EUR/USD Were &gt;&gt; toptradingbourse@hotmail.com we give   #realFreeTail,0.0,0.0,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7003}","{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7003}"
3,"Foriegn Rates:
USD:
98.40
GBP:
150.34
EUR:
128.07
JPY:
0.98
% M.NADEEM %

Follow Public_Newspk and send to 4O4O4.
Owner M.T.A
O315289556O",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"Foriegn Rates:
USD:
98.40
GBP:
150.34
EUR:
128.07
JPY:
0.98
% M.NADEEM %
Follow Public_Newspk and send to 4O4O4.
Owner M.T.A
O315289556O",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"EUR/USD continues to weaken following recent
think tank report and Goldman rate call for the
ECB to cut rates next Thursday...",0.0,0.0,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.5994}","{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.5994}"
6,"I care about this Reinhart &amp; Rogoff debate because it has striking fiscal policy implications in Europe and US; and thus, on EUR and USD.",0.0,0.0,"{'neg': 0.096, 'neu': 0.701, 'pos': 0.204, 'compound': 0.4019}","{'neg': 0.096, 'neu': 0.701, 'pos': 0.204, 'compound': 0.4019}"
7,"XAU/USD, EUR/USD and GBP/USD are all up!!! #spotgoldtrading #fxtrading",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,Here comes the next wave of USD selling. EUR and GBP both to new highs.,0.0987878787878788,0.3315151515151515,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"Today’s AM Fix: USD 1,446.50, EUR 1,107.07 and GBP 937.64/oz
Yesterday’s AM Fix: USD 1,424.50, EUR 1,095.52 and GBP 932.63/oz",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"UK GDP. EUR/JPY, USD/JPY, DOWN AND UP",0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,UK DATA: Q1 GDP up 0.3% Q/Q; up 0.6% y/y GBP up by 100 points vs EUR and USD.,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,#GBP Prelim GDP q/q just posted 0.3% GBP/EUR and GBP/USD rocketed 1 cent each!,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,Watch EUR/USD at 1.2900/1.2950-1.3100/1.3150 and USD/JPY at 98.40/98.65-99.65/99.90,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"ZAR gains helped by USD and EUR, a rebound in gold, and buying of local bonds. USD/ZAR broke numerous support levels to trade around 9.10.",0.0,0.0,"{'neg': 0.109, 'neu': 0.547, 'pos': 0.344, 'compound': 0.7184}","{'neg': 0.109, 'neu': 0.547, 'pos': 0.344, 'compound': 0.7184}"
15,"ZAR gains helped by USD and EUR, a rebound in gold, and buying of local bonds. USD/ZAR broke numerous support levels to trade around 9.10.",0.0,0.0,"{'neg': 0.109, 'neu': 0.547, 'pos': 0.344, 'compound': 0.7184}","{'neg': 0.109, 'neu': 0.547, 'pos': 0.344, 'compound': 0.7184}"
16,"all eyes on FX forecasts from Japan Inc. Nintendo is looking at 90/USD and 120/EUR for the year ahead; more cautious than Canon, at 95/125",0.0,0.0,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.1027}","{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.1027}"
17,"After Abe talks down 44Trln Yen bond issuance cap, EUR/JPY, AUD/JPY and USD/JPY have caught supportive bids. EUR/USD higher to 1.3050 level.",0.25,0.5,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
18,"EUR is still about to diffise Risk downward, and EUR/USD also looks follow it...",0.0,0.0,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}","{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
19,"EUR/USD Prices are testing support at 1.2973, the intersection of the 23.6% Fibonacci expansion and a formerly broken falling trend line.",-0.2,0.2,"{'neg': 0.174, 'neu': 0.674, 'pos': 0.152, 'compound': -0.1027}","{'neg': 0.174, 'neu': 0.674, 'pos': 0.152, 'compound': -0.1027}"
20,"Successful Trades on Apr 24, 2013 According to the analysis of the EUR/JPY and AUD/USD trader profited on a binary options platform.",0.3,0.0,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}"
21,JPY battling back in North America; are options accounts protecting 100 in USD/JPY and 130 in EUR/JPY?,0.0,0.0,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}"
