,author id,author username,is_verified_user,followers_count,following_count,tweet_count,listed_count,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,txt_lower_rm_nonalpha,txt_tokenized,txt_nostp,lemmatized,stemmed,cleaned,polarity
0,282136529,zhanusic,False,2563,2372,39807,21,2012-08-24 21:54:48+00:00, ,239118586482925568,en,0,0,0,0,twitterfeed,"Daily Summary on USD, EUR, GBP, JPY, AUD and CAD",daily summary on usd eur gbp jpy aud and cad,"['daily', 'summary', 'on', 'usd', 'eur', 'gbp', 'jpy', 'aud', 'and', 'cad']","['daily', 'summary', 'usd', 'eur', 'gbp', 'jpy', 'aud', 'cad']","['daily', 'summary', 'usd', 'eur', 'gbp', 'jpy', 'aud', 'cad']","['daili', 'summari', 'usd', 'eur', 'gbp', 'jpi', 'aud', 'cad']",daili summari usd eur gbp jpi aud cad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,20981958,FXSpottrader,False,201,196,1476,10,2012-08-24 16:02:24+00:00, ,239029902102364162,en,0,0,0,0,Twitter Web Client,Squared up EUR USD @ 1.2530 for +30 pts - take the money and run ... Happy W/E!!,squared up eur usd  12530 for 30 pts  take the money and run  happy we,"['squared', 'up', 'eur', 'usd', '12530', 'for', '30', 'pts', 'take', 'the', 'money', 'and', 'run', 'happy', 'we']","['squared', 'eur', 'usd', '12530', '30', 'pts', 'take', 'money', 'run', 'happy']","['squared', 'eur', 'usd', '12530', '30', 'pt', 'take', 'money', 'run', 'happy']","['squar', 'eur', 'usd', '12530', '30', 'pt', 'take', 'money', 'run', 'happi']",squar eur usd 12530 take money run happi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,29763551,melchigr,False,1012,5005,22163,0,2012-08-24 16:00:07+00:00, ,239029328959139840,en,0,0,1,0,Twitter Web Client,Global equity markets and Eur/Usd recover after report that ECB considers setting yield band targets under a new bond-buying program.,global equity markets and eurusd recover after report that ecb considers setting yield band targets under a new bondbuying program,"['global', 'equity', 'markets', 'and', 'eurusd', 'recover', 'after', 'report', 'that', 'ecb', 'considers', 'setting', 'yield', 'band', 'targets', 'under', 'a', 'new', 'bondbuying', 'program']","['global', 'equity', 'markets', 'eurusd', 'recover', 'report', 'ecb', 'considers', 'setting', 'yield', 'band', 'targets', 'new', 'bondbuying', 'program']","['global', 'equity', 'market', 'eurusd', 'recover', 'report', 'ecb', 'considers', 'setting', 'yield', 'band', 'target', 'new', 'bondbuying', 'program']","['global', 'equiti', 'market', 'eurusd', 'recov', 'report', 'ecb', 'consid', 'set', 'yield', 'band', 'target', 'new', 'bondbuy', 'program']",global equiti market eurusd recov report ecb consid set yield band target new bondbuy program,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,185673983,TheSquareMile,False,7164,5072,97235,225,2012-08-24 15:56:02+00:00, ,239028299555278848,en,0,0,0,0,TweetDeck,#FF @mariapapli I like to follow her #EUR #USD trades as she's evidently more expert on €/$ than me and I often learn something. TY Maria,  i like to follow her   trades as shes evidently more expert on  than me and i often learn something ty maria,"['i', 'like', 'to', 'follow', 'her', 'trades', 'as', 'shes', 'evidently', 'more', 'expert', 'on', 'than', 'me', 'and', 'i', 'often', 'learn', 'something', 'ty', 'maria']","['like', 'follow', 'trades', 'shes', 'evidently', 'expert', 'often', 'learn', 'something', 'ty', 'maria']","['like', 'follow', 'trade', 'shes', 'evidently', 'expert', 'often', 'learn', 'something', 'ty', 'maria']","['like', 'follow', 'trade', 'shes', 'evid', 'expert', 'often', 'learn', 'someth', 'ty', 'maria']",like follow trade shes evid expert often learn someth maria,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}"
4,106394919,modi_FX,False,23,57,308,0,2012-08-24 15:23:45+00:00, ,239020176950042625,en,0,0,0,0,Twitter Web Client,closed the short cable and opened a long EUR/USD,closed the short cable and opened a long eurusd,"['closed', 'the', 'short', 'cable', 'and', 'opened', 'a', 'long', 'eurusd']","['closed', 'short', 'cable', 'opened', 'long', 'eurusd']","['closed', 'short', 'cable', 'opened', 'long', 'eurusd']","['close', 'short', 'cabl', 'open', 'long', 'eurusd']",close short cabl open long eurusd,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,712661461,Sir0tek,False,846,875,39866,51,2012-08-24 14:36:07+00:00, ,239008190174490624,en,0,0,0,0,Twitter Web Client,#aapl green again whilst bearish sign AUD/USD and lost at court w. Samsung in Korea. EUR up again @zerohedge, green again whilst bearish sign audusd and lost at court w samsung in korea eur up again ,"['green', 'again', 'whilst', 'bearish', 'sign', 'audusd', 'and', 'lost', 'at', 'court', 'w', 'samsung', 'in', 'korea', 'eur', 'up', 'again']","['green', 'whilst', 'bearish', 'sign', 'audusd', 'lost', 'court', 'w', 'samsung', 'korea', 'eur']","['green', 'whilst', 'bearish', 'sign', 'audusd', 'lost', 'court', 'w', 'samsung', 'korea', 'eur']","['green', 'whilst', 'bearish', 'sign', 'audusd', 'lost', 'court', 'w', 'samsung', 'korea', 'eur']",green whilst bearish sign audusd lost court samsung korea eur,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}"
6,201847268,GeorgeStoykov,False,1565,137,57458,87,2012-08-24 13:40:40+00:00, ,238994235926384640,en,0,0,1,0,TweetDeck,@tradetheday_ yup i agree im bullish USD vs commod. currencies and EUR vs all at the same time ^.^ funny i know, yup i agree im bullish usd vs commod currencies and eur vs all at the same time  funny i know,"['yup', 'i', 'agree', 'im', 'bullish', 'usd', 'vs', 'commod', 'currencies', 'and', 'eur', 'vs', 'all', 'at', 'the', 'same', 'time', 'funny', 'i', 'know']","['yup', 'agree', 'im', 'bullish', 'usd', 'vs', 'commod', 'currencies', 'eur', 'vs', 'time', 'funny', 'know']","['yup', 'agree', 'im', 'bullish', 'usd', 'v', 'commod', 'currency', 'eur', 'v', 'time', 'funny', 'know']","['yup', 'agre', 'im', 'bullish', 'usd', 'v', 'commod', 'currenc', 'eur', 'v', 'time', 'funni', 'know']",yup agre bullish usd commod currenc eur time funni know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,68216208,OOBakare,False,92,93,593,2,2012-08-24 13:30:58+00:00, ,238991793188896768,en,0,0,0,0,Twitter Web Client,"Despite late entry, EUR/USD sell trade now at BE + 36 TP 1.2480 and done for the week. Have a great weekend everyone",despite late entry eurusd sell trade now at be  36 tp 12480 and done for the week have a great weekend everyone,"['despite', 'late', 'entry', 'eurusd', 'sell', 'trade', 'now', 'at', 'be', '36', 'tp', '12480', 'and', 'done', 'for', 'the', 'week', 'have', 'a', 'great', 'weekend', 'everyone']","['despite', 'late', 'entry', 'eurusd', 'sell', 'trade', '36', 'tp', '12480', 'done', 'week', 'great', 'weekend', 'everyone']","['despite', 'late', 'entry', 'eurusd', 'sell', 'trade', '36', 'tp', '12480', 'done', 'week', 'great', 'weekend', 'everyone']","['despit', 'late', 'entri', 'eurusd', 'sell', 'trade', '36', 'tp', '12480', 'done', 'week', 'great', 'weekend', 'everyon']",despit late entri eurusd sell trade 12480 done week great weekend everyon,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}"
8,209745329,forex1109,False,11,23,135,0,2012-08-24 13:05:41+00:00, ,238985431163748352,en,0,0,0,0,Facebook,EUR/USD I still see this market breaking above 1.2600 and towards 1.2700,eurusd i still see this market breaking above 12600 and towards 12700,"['eurusd', 'i', 'still', 'see', 'this', 'market', 'breaking', 'above', '12600', 'and', 'towards', '12700']","['eurusd', 'still', 'see', 'market', 'breaking', '12600', 'towards', '12700']","['eurusd', 'still', 'see', 'market', 'breaking', '12600', 'towards', '12700']","['eurusd', 'still', 'see', 'market', 'break', '12600', 'toward', '12700']",eurusd still see market break 12600 toward 12700,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,562679229,IqbalRagha,False,40,26,377,0,2012-08-24 11:27:46+00:00, ,238960789157998592,en,0,0,0,0,Twitter Web Client,"For EUR/USD, you can trade in a way to open BUY position at the level of 1.2503 and SELL position 1.2564. From Instaforex analytics.",for eurusd you can trade in a way to open buy position at the level of 12503 and sell position 12564 from instaforex analytics,"['for', 'eurusd', 'you', 'can', 'trade', 'in', 'a', 'way', 'to', 'open', 'buy', 'position', 'at', 'the', 'level', 'of', '12503', 'and', 'sell', 'position', '12564', 'from', 'instaforex', 'analytics']","['eurusd', 'trade', 'way', 'open', 'buy', 'position', 'level', '12503', 'sell', 'position', '12564', 'instaforex', 'analytics']","['eurusd', 'trade', 'way', 'open', 'buy', 'position', 'level', '12503', 'sell', 'position', '12564', 'instaforex', 'analytics']","['eurusd', 'trade', 'way', 'open', 'buy', 'posit', 'level', '12503', 'sell', 'posit', '12564', 'instaforex', 'analyt']",eurusd trade way open buy posit level 12503 sell posit 12564 instaforex analyt,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
