,Neutral
0,+were.bearish+
1,+no.bearish+
2,+not+expect+move+higher+
3,+were.bullish+
4,+no.bullish+
5,+not+expect+move+lower+
6,+was.bearish+
7,+not.bearish+
8,+bullish+missing+
9,+was.bullish+
10,+not.bullish+
11,+missing+bullish+
12,+bullish+absent+
13,+bullish+lack+
14,+bearish+missing+
15,+bearish+absent+
16,+lack+bullish+
17,+missing+bearish+
18,+bullish+void+
19,+bearish+lack+
20,+might+buy+eur+
21,+bearish+void+
22,+lack+bearish+
23,+might+sell+eur+
24,+bought+sold+
25,+will+buy+if+
26,+bullish+fail+
27,+sold+bought+
28,+will+sell+if+
29,+fail+bullish+
30,+could.go.higher+
31,+needs.confirm+
32,+bearish+fail+
33,+could.go.lower+
34,+need.to.see+
35,+fail+bearish+
36,+could.move.higher+
37,+needs.to.hold+
38,+bullish+decline+
39,+could.move.lower+
40,+need.to.hold+
41,+bullishness+decrease+
42,+must.close+
43,+buy+signal+watch+
44,+eur+need+go+lower+
45,+should.close+
46,+sell+signal+watch+
47,+eur+need+go+higher+
48,+bull+lose+steam+
49,+neutral.on..eur+
50,+staying.in.cash+
51,+bear+lose+steam+
52,+neutral.on.eur+
53,+no.need+do.anything+
54,+wait+
55,+not+trading+
56,+not.doing.much+
57,+rally+weak+
58,+patience+
59,+will.be.telling+
60,+not.yet+
61,+looking.for+
62,+could+accelerate+
63,+staying.flat++bounce.possible+
64,+out+eur+short+
65,+all.eyes+on+
66,+steady+ahead+
67,+out+eur+long+
68,+bull+doubt+
69,+no+new+trade+
70,+may+hold+range+
71,+bear+doubt+
72,+range.in.focus+
73,+bias+remain+neutral+
74,+no.trend+
75,+look.to.see+
76,+indecision+
77,+hesitation+
